num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps
26,0,1,28,False,100,0,100,True,7,23,7,520
26,0,1,29,False,100,0,100,True,7,23,7,520
0,100,0,21,True,0,0,0,False,0,22,7,576
0,100,0,22,True,0,0,0,False,0,23,7,576
0,100,0,23,True,0,0,0,False,0,23,7,576
34,0,1,24,False,100,0,100,True,8,23,7,576
12,90,1,25,True,3,0,3,True,5,23,7,576
28,0,1,26,False,100,0,100,True,7,23,7,576
28,0,1,27,False,100,0,100,True,7,23,7,576
26,0,1,28,False,100,0,100,True,7,23,7,576
26,0,1,29,False,100,0,100,True,7,23,7,576
0,1,0,21,True,0,0,-100,True,0,22,7,60
0,1,0,22,True,0,0,-100,True,0,23,7,60
0,1,0,23,True,0,0,-100,True,0,23,7,60
34,0,1,24,False,100,0,100,True,8,23,7,60
12,1,1,25,True,3,0,-100,True,5,23,7,60
28,0,1,26,False,100,0,100,True,7,23,7,60
28,0,1,27,False,100,0,100,True,7,23,7,60
26,0,1,28,False,100,0,100,True,7,23,7,60
26,0,1,29,False,100,0,100,True,7,23,7,60
